ev_name,county,address,geo_loc,pic_url,accu_url,s_time,e_time
[麥田畫室] 自由創作畫畫課,台北市,台北市文山區興隆路一段234號二樓,POINT(24.9992834 121.5438782),https://static.accupass.com/eventbanner/2502150807553801199400_P520x260.jpg,https://www.accupass.com/event/2504140625207313736040?utm_source=web&utm_medium=search_result_&utm_campaign=accu_e_,2025-04-16 14:00:00,2025-07-16 14:00:00
串串手作|5月細緻鍊戒手作課程(初階手作課程),台北市,台北市松山區三民路95巷26號1樓,POINT(25.0571352 121.5622944),https://static.accupass.com/eventbanner/2504100949473462974860_P520x260.jpg,https://www.accupass.com/event/2504100947391440083126?utm_source=web&utm_medium=search_result_&utm_campaign=accu_e_,2025-05-02 19:00:00,2025-05-28 20:00:00
台北的傳奇：文山包種茶；從日治時代飄香而來,台北市,台北市中山區中山北路二段72巷7號,POINT(25.0571969 121.5223678),https://static.accupass.com/eventbanner/2504150316091810126819_P520x260.jpg,https://www.accupass.com/event/2504150313481913538403?utm_source=web&utm_medium=search_result_&utm_campaign=accu_e_,2025-12-21 14:30:00,2025-12-21 17:30:00
$150 桌遊派對 語言交換 🎉 Board Games & Language Exchange,台北市,台北市夏洛克桌遊專賣店 B1,POINT(25.0388171 121.5523857),https://static.accupass.com/eventbanner/2502151533132000028946_P520x260.jpg,https://www.accupass.com/event/2502151659351658372830?utm_source=web&utm_medium=search_result_&utm_campaign=accu_e_,2025-09-09 18:00:00,2025-09-09 22:00:00
串串手作|5月靜心水晶掛飾系列-纏繞款(高階手作課程),台北市,台北市松山區三民路95巷26號1樓,POINT(25.0571352 121.5622944),https://static.accupass.com/eventbanner/2504110547252516412310_P520x260.jpg,https://www.accupass.com/event/2504110536061050452675?utm_source=web&utm_medium=search_result_&utm_campaign=accu_e_,2025-05-02 19:00:00,2025-05-24 17:00:00
$150 桌遊派對 語言交換 🎉 Board Games & Language Exchange,台北市,台北市DeRoot休閒空間,POINT(25.0406944 121.5325964),https://static.accupass.com/eventbanner/2501241918231953298683_P520x260.jpg,https://www.accupass.com/event/2502151708211711400417?utm_source=web&utm_medium=search_result_&utm_campaign=accu_e_,2025-10-23 18:00:00,2025-10-23 22:00:00
春夏限定【金工體驗課】光影戒指 │ 新北永和門市,新北市,新北市永和區永和路一段106號,POINT(25.0071762 121.5134009),https://static.accupass.com/eventbanner/2404220928336303264090_P520x260.jpg,https://www.accupass.com/event/2504170708451604807470?utm_source=web&utm_medium=search_result_&utm_campaign=accu_e_,2025-04-18 18:00:00,2025-06-20 21:00:00
春夏限定【金工體驗課】二迴旋麻花戒指 │ 新北永和門市,新北市,新北市永和區永和路一段106號,POINT(25.0071762 121.5134009),https://static.accupass.com/eventbanner/2404171040061285822773_P520x260.jpg,https://www.accupass.com/event/2504170709311298005237?utm_source=web&utm_medium=search_result_&utm_campaign=accu_e_,2025-04-19 21:00:00,2025-06-20 18:00:00
【台北場 - Darren教練】夏夜WALX 【全身性健走 Total Body Walking】,台北市,台北市中山區遼寧街130號104號,POINT(25.0534255 121.5419871),https://static.accupass.com/eventbanner/2412310959361448386136_P520x260.jpg,https://www.accupass.com/event/2503250358041680187125?utm_source=web&utm_medium=search_result_&utm_campaign=accu_e_,2025-05-06 09:30:00,2025-05-22 20:30:00
【5/10】大人ㄉ兒童節─經典ㄉ桌遊夜,台中市,台中市南屯區文心南六路288號,POINT(24.1309241 120.6470147),https://static.accupass.com/eventbanner/2503310414392814029760_P520x260.jpg,https://www.accupass.com/event/2503310138039654368220?utm_source=web&utm_medium=search_result_&utm_campaign=accu_e_,2025-05-10 19:00:00,2025-05-10 22:00:00
春夏限定【金工體驗課】羅馬戒指 │ 台北微風南山,台北市,台北市信義區松智路17號3樓,POINT(25.0343073 121.5659555),https://static.accupass.com/eventbanner/2504240800487463451430_P520x260.jpg,https://www.accupass.com/event/2504231126303506970730?utm_source=web&utm_medium=search_result_&utm_campaign=accu_e_,2025-04-25 18:00:00,2025-06-20 21:00:00
$150 桌遊派對 語言交換 🎉 Board Games & Language Exchange,台北市,台北市夏洛克桌遊專賣店 B1,POINT(25.0388171 121.5523857),https://static.accupass.com/eventbanner/2502151533132000028946_P520x260.jpg,https://www.accupass.com/event/2502151655543870404860?utm_source=web&utm_medium=search_result_&utm_campaign=accu_e_,2025-08-19 18:00:00,2025-08-19 22:00:00
$150 桌遊派對 語言交換 🎉 Board Games & Language Exchange,台北市,台北市DeRoot休閒空間,POINT(25.0406944 121.5325964),https://static.accupass.com/eventbanner/2501241918231953298683_P520x260.jpg,https://www.accupass.com/event/2502151704162082630599?utm_source=web&utm_medium=search_result_&utm_campaign=accu_e_,2025-10-02 18:00:00,2025-10-02 22:00:00
[台中南區&北屯區] 天然手作 | 除穢香包課程,台中市,台中市北屯區文昌東十一街14巷1號,POINT(24.1659745 120.6928119),https://static.accupass.com/eventbanner/2504250430425392382490_P520x260.jpg,https://www.accupass.com/event/2504171030057332683160?utm_source=web&utm_medium=search_result_&utm_campaign=accu_e_,2025-05-17 14:00:00,2025-05-28 16:00:00
$150 桌遊派對 語言交換 🎉 Board Games & Language Exchange,台北市,台北市DeRoot休閒空間,POINT(25.0406944 121.5325964),https://static.accupass.com/eventbanner/2501241918231953298683_P520x260.jpg,https://www.accupass.com/event/2502151646221497345874?utm_source=web&utm_medium=search_result_&utm_campaign=accu_e_,2025-07-31 18:00:00,2025-07-31 22:00:00
【新手體驗】06月TRPG跑團夜 - 雙北聯合計畫,台北市,台北市(每場地點不同) 新生南路一段160巷18-1號,POINT(25.0345369 121.5307933),https://static.accupass.com/eventbanner/2504221134576964616780_P520x260.jpg,https://www.accupass.com/event/2503261412521762634067?utm_source=web&utm_medium=search_result_&utm_campaign=accu_e_,2025-06-01 19:30:00,2025-06-30 22:00:00
台北聯誼活動＿美食饗宴｜2025/06/21 (六)【幸福食堂 上菜囉！】-手作課｜戀愛大學,台北市,台北市戀愛大學,POINT(25.0441094 121.5160121),https://static.accupass.com/eventbanner/2501070304001891278900_P520x260.jpg,https://www.accupass.com/event/2501080830354053897550?utm_source=web&utm_medium=search_result_&utm_campaign=accu_e_,2025-06-21 10:30:00,2025-06-21 14:30:00
喜劇開港脫口秀OPEN MIC (五月場),高雄市,高雄市鹽埕區五福四路117號,POINT(22.62282 120.284866),https://static.accupass.com/eventbanner/2504291055536881047760_P520x260.jpg,https://www.accupass.com/event/2504240251287043225720?utm_source=web&utm_medium=search_result_&utm_campaign=accu_e_,2025-05-02 20:00:00,2025-05-30 22:00:00
南區熱門音樂祭：逃出夢幻島,高雄市,高雄市三民區民族一路70號,POINT(22.6422844 120.3145888),https://static.accupass.com/eventbanner/2504220303051940858750_P520x260.jpg,https://www.accupass.com/event/2504170808211492992118?utm_source=web&utm_medium=search_result_&utm_campaign=accu_e_,2025-05-25 16:00:00,2025-05-25 23:00:00
五月限定-台北午後輕約會,台北市,台北市館前路26號,POINT(25.0448188 121.5146522),https://static.accupass.com/eventbanner/2504290619411775079226_P520x260.jpg,https://www.accupass.com/event/2504290626475188299040?utm_source=web&utm_medium=search_result_&utm_campaign=accu_e_,2025-05-01 13:00:00,2025-05-31 19:00:00
【5月實體課程】瑜伽初學者友善！輕流暢瑜伽 ｜週二晚間班,台北市,台北市中山區南京東路二段115巷3弄2-3號3樓,POINT(25.0532296 121.5335851),https://static.accupass.com/eventbanner/2304060852231061698371_P520x260.jpg,https://www.accupass.com/event/2504230416383115294750?utm_source=web&utm_medium=search_result_&utm_campaign=accu_e_,2025-04-29 19:00:00,2025-05-27 20:15:00
【觀音場】桃仔園電影趴，來咱社區看電影：《夢想全壘打》,桃園市,桃園市觀音區大觀路一段561號,POINT(25.0487585 121.144814),https://static.accupass.com/eventbanner/2503251113421745715871_P520x260.jpg,https://www.accupass.com/event/2503210707001664869505?utm_source=web&utm_medium=search_result_&utm_campaign=accu_e_,2025-05-27 09:00:00,2025-05-27 10:30:00
"【以愛之名】05/06 我的意外爸爸 LikeFather, LikeSon",桃園市,桃園市中壢區龍清街116巷31號,POINT(24.9355173 121.2377961),https://static.accupass.com/eventbanner/2504220731491969132092_P520x260.jpg,https://www.accupass.com/event/2504220729561795442285?utm_source=web&utm_medium=search_result_&utm_campaign=accu_e_,2025-05-06 18:00:00,2025-05-06 20:00:00
Protection,台北市,台北市台北市大同區民族西路141號,POINT(25.0687264 121.5164221),https://static.accupass.com/eventbanner/2504190924441511313118_P520x260.jpg,https://www.accupass.com/event/2504190931211754996810?utm_source=web&utm_medium=search_result_&utm_campaign=accu_e_,2025-05-10 12:00:00,2025-05-31 18:30:00
(4/1-6/30)台北/中山－冬日暖心-毛線燈手作體驗課/場次預約,台北市,台北市大同區赤峰街49巷15號1樓,POINT(25.0557746 121.520151),https://static.accupass.com/eventbanner/2412010900171952528448_P520x260.jpg,https://www.accupass.com/event/2504020952371289426425?utm_source=web&utm_medium=search_result_&utm_campaign=accu_e_,2025-04-02 12:30:00,2025-06-30 20:00:00
台南金工|麻花捲銀戒指|純銀戒指|單戒|對戒|手作課程|台南手作|結婚禮物|生日禮物,台南市,台南市安南區安中路四段290巷325弄65號,POINT(23.0537225 120.1714522),https://static.accupass.com/eventbanner/2403231307555151430690_P520x260.jpg,https://www.accupass.com/event/2403231304492436095590?utm_source=web&utm_medium=search_result_&utm_campaign=accu_e_,2024-03-24 00:00:00,2039-12-31 00:00:00
祥草茶流 · 台北夜間茶聚（12月）火燒的浪漫：鳳凰單叢、日本焙茶、凍頂烏龍...一起分享冬日品茶趣,台北市,台北市松山區富錦街114號,POINT(25.0596531 121.5528458),https://static.accupass.com/eventbanner/2502020652045506483890_P520x260.jpg,https://www.accupass.com/event/2502020651481551511945?utm_source=web&utm_medium=search_result_&utm_campaign=accu_e_,2025-12-17 19:30:00,2025-12-17 21:30:00
梭織體驗｜5-6 月｜台北｜手作梭織掛畫 基礎織布體驗 居家裝飾 Art Weaving,台北市,台北市松山區三民路95巷26號,POINT(25.0571352 121.5622944),https://static.accupass.com/eventbanner/2504240600357601310230_P520x260.jpg,https://www.accupass.com/event/2504240535011014829795?utm_source=web&utm_medium=search_result_&utm_campaign=accu_e_,2025-04-24 14:00:00,2025-06-30 22:00:00
【旅遊講座】奔向世界最後一塊淨土─南極,台北市,台北市士林區中山北路五段522號4樓,POINT(25.0934049 121.5284251),https://static.accupass.com/eventbanner/2504230356221469917296_P520x260.jpg,https://www.accupass.com/event/2504230359219321288800?utm_source=web&utm_medium=search_result_&utm_campaign=accu_e_,2025-05-29 14:00:00,2025-05-29 16:00:00
榮枯盛衰-堉泉個展 Wax and Wane - Yu Chuan Solo Exhibition,台北市,台北市中正區仁愛路一段45號2樓,POINT(25.0386916 121.5240821),https://static.accupass.com/eventbanner/2504251155261012609408_P520x260.jpg,https://www.accupass.com/event/2504251158389836249730?utm_source=web&utm_medium=search_result_&utm_campaign=accu_e_,2025-05-10 13:00:00,2025-07-04 20:00:00
赫赫有名的四大烏龍茶：實現你的烏龍茶自由！！！,台北市,台北市中山區中山北路二段72巷7號,POINT(25.0571969 121.5223678),https://static.accupass.com/eventbanner/2504150245492951889420_P520x260.jpg,https://www.accupass.com/event/2504150244571018792798?utm_source=web&utm_medium=search_result_&utm_campaign=accu_e_,2025-11-16 14:30:00,2025-11-16 17:30:00
串串手作|5月靜心水晶掛飾系列-參縷款(中階手作課程),台北市,台北市松山區三民路95巷26號1樓,POINT(25.0571352 121.5622944),https://static.accupass.com/eventbanner/2504110611162213386400_P520x260.jpg,https://www.accupass.com/event/2504110610481289762226?utm_source=web&utm_medium=search_result_&utm_campaign=accu_e_,2025-05-02 19:00:00,2025-05-24 16:00:00
【調酒體驗】環遊世界喝調酒 07 | 30杯全球精選 DIY | 雙人體驗方案,台北市,台北市文山區萬芳路60-18號,POINT(24.998572 121.568614),https://static.accupass.com/eventbanner/2412281327431258653609_P520x260.jpg,https://www.accupass.com/event/2412281326231112583571?utm_source=web&utm_medium=search_result_&utm_campaign=accu_e_,2025-07-27 14:30:00,2025-07-27 17:00:00
$150 桌遊派對 語言交換 🎉 Board Games & Language Exchange,台北市,台北市夏洛克桌遊專賣店 B1,POINT(25.0388171 121.5523857),https://static.accupass.com/eventbanner/2502151533132000028946_P520x260.jpg,https://www.accupass.com/event/2502151636168012454480?utm_source=web&utm_medium=search_result_&utm_campaign=accu_e_,2025-06-24 18:00:00,2025-06-24 22:00:00
花語芬芳 - 乾燥花柱蠟燭與香氛蠟片手作課(六月場),台北市,台北市松山區三民路95巷26號1樓,POINT(25.0571352 121.5622944),https://static.accupass.com/eventbanner/2503270628211263223316_P520x260.jpg,https://www.accupass.com/event/2503270628071927530992?utm_source=web&utm_medium=search_result_&utm_campaign=accu_e_,2025-06-28 19:00:00,2025-06-28 22:00:00
