區域,類型,Place ID,名稱,評分,評論數,分類標籤,地址,經度,緯度,營業狀態,營業時間,圖片資訊
中正區,餐廳,ChIJzTNu80mpQjQRGlOOtsehuVU,璞滿滿,4.5,340,"['restaurant', 'point_of_interest', 'food', 'establishment']",100台灣台北市中正區徐州路34號,121.5235466,25.0405889,OPERATIONAL,{'open_now': False},AeeoHcJazZPn8rOcNgUadc0UU4ffcD3Rf9lbBInpsv4-4RW-eU2Pp9cs9e4Z_pF3WUDwXtOYwpnbLk7ennsEMGk76PqahwkabfYzwpBxGGsiBR6fKT7ESDpDQhftjQf6d2zuvMd7Vr83KH3xW-K8pPrX2OH77m1I6JyQIW_iqDlePYZXUn3irlw0FnvXcPFv1esEINUyWTc2XApixbM6Q9wY-fmQdqznSD7BwZCm8eepthz_yujw8NOC17CYBl6UgQTXW0ni572_uxaG_P4pelGbkIRKKajd1pehOZjHRxgCBZb9gG67q6I
中正區,餐廳,ChIJz_UT0p-pQjQRrpA4MLmPo-A,詩篇咖啡餐廳Psalms Cafe & Restaurant,4.7,2913,"['restaurant', 'point_of_interest', 'food', 'establishment']",100台灣台北市中正區中山南路20號B1,121.5166702,25.0371454,OPERATIONAL,{'open_now': True},AeeoHcKdhslFFIBb6o7WiESOx9yKj6mBx5cCCAZxFwo4uojDfjpinmIcYUi1KaJR8OZrzvIlkiLUl309IR98hQHtUB_62oiEOqqTUY4Hz1QF2kUZH8o0W-FaxIVStDZQw6sb0PiQXg_rAFzH4lCYmCnEEd6n4vDfToBHNrZCbROTcA3dpZFmGdh9ubw-n_r7aWNT_Fh-qadOHPuY4WtgjQWJtLCvipx6BL57qX0M0XJ35HqYH_o2FR0KRajXMilUQdUVhp5MbnAsCZGXWc00r3zRTqJWD9_Nydlow4PfIsIfjxLoWUQZuz8
中正區,餐廳,ChIJDaPMVPWpQjQRRnSIIHKXYMc,小木斑馬 Brunch & coffee,4.5,205,"['restaurant', 'point_of_interest', 'food', 'establishment']",100台灣台北市中正區羅斯福路二段66巷16號1樓,121.5211266,25.0275014,OPERATIONAL,{'open_now': True},AeeoHcImZVZQpKn0jyHRTeXTScCZUMa7NbZvgmMv4EVYbYFJklMSa3GS4l0A5AVZAy9d0_86a7xM9pS48GAmHnaJ8FO0sgMyu3ekjkHnZepnZPkm9FbtsHNZD554agU6Oop64ORJ-HvZAVhEJ7He4Sk2Ckb1YBWZGSmvf6aBfZRsvqC9LzEdwyeTJmcui0bcpff_il4L1UYHr7fRL1IYlO-hh6LoyoUaxAosIuFYz13g2_GGGATnUdbXm0GBCpG-3PHLMK0miYqfk5GNSq4f1ryivVL3JUgCxF2P9dRS4QG4zc6z6ovPrYE
中正區,餐廳,ChIJJ1Hcl7OpQjQR3Aj7-220DyA,山上走走 日式燒肉台北華山店,4.9,13281,"['restaurant', 'point_of_interest', 'food', 'establishment']",100台灣台北市中正區金山南路一段8號,121.5294009,25.0422789,OPERATIONAL,{'open_now': False},AeeoHcIYm-e-cbkz_syzTwwJXmKEwydASDhbIr6fBraEYs1r5W2JIsElGGa03tiI5Hj9g9bE2vYdi45PlCH98uqmRkIPkvz2gTmtmrPQBy-59eU-OfkzvODu-ID-lqszuGiM9oCshPyhJ1T3nmTNe_3GMc_pUanHbVfbTqmVbgcIeFnlX01oBITOU4AYhulVLbzd0PMR-W1vjzXEiMOZW2wkh13_7xPNPsU5_CNMklSLOeKGGXQTu12hameyqO0M9GMVKkPT0b173Eqcsm1Q4lnKJ520KGjTLiisK1qKa37SuvB1HdAMQoE
中正區,餐廳,ChIJmwpiaz6pQjQRYyvkztdE-tA,晴天廚房,4.7,1109,"['store', 'restaurant', 'point_of_interest', 'food', 'establishment']",100台灣台北市中正區寧波東街11-2號,121.5201389,25.0328509,OPERATIONAL,{'open_now': False},AeeoHcLaw1PgYo5-_Mho8dgp7FLrfiexmNfYBpc_Tuag92W8yviYaeIAkbK7n15vepCC-JbkhTal9xGih_0fN0zCPLXYnhSs6rawFGgXRKOkT6SEJI1PHjKfC6ZXn28ne8bZWbURXUm0QBJFynE6ijvAlvl6BO2KvQYmIh6uwTrUz2q1-EwyfHXsOVbhM-iqFr1hYk2aoMSBUdmIJlsyL9VJILOtd3cFQ-ayX4ZEBTOb_qqoeDRtfMJElHyIORi7PwXosD5xpTItupdsXS-ULv9AxHI56BYGnGmjSRdjfwNcZa-KLRb8cwE
中正區,餐廳,ChIJMSYtWlCpQjQRXyCnFJvgV68,THE CAFÉ BY 想 國家戲劇院 咖啡 美食,4.3,557,"['store', 'restaurant', 'point_of_interest', 'food', 'establishment']",100台灣台北市中正區中山南路21-1號,121.5178002,25.0351586,OPERATIONAL,{'open_now': True},AeeoHcLuoKwi6m4qSNGrcRxLGz72B1wb0y1SbYMqFUOPb4jGURkcmL6OeKvNV5iGMRWUzSzyl4AxzgteN9nNGsbjO7bzpi1synThQt0GczLhOnYv4xf_4RuH0UAFG77AQG3S5eM9Q_lUJFYw_Q7NW_KxF1gD020fMzCfJE007cw_z4tlPSfn8sI5igFcFEGalVevqKw_A5wFOQkJIeZrBDMiciMLzRbho8hpHdh5OLyoruE0eekOlAqkmx2_gngu2kSMRYbGlYxTvBADFoPqQ44d6KOZqtWPjhM5SXkqia29uqH7VtH9wSg
中正區,餐廳,ChIJz--EZiipQjQRRjvTXqMelPY,芝生食堂 忠孝新生店,4.3,2227,"['restaurant', 'point_of_interest', 'food', 'establishment']",100台灣台北市中正區忠孝東路二段134巷1號,121.5317516,25.0416448,OPERATIONAL,{'open_now': True},AeeoHcII-YkRli7MXasvZ88xfkWz44ObRe932e_UGthVYvt2KP0-TrdLcpIeGMipF6-NEM5ic1yU9EfDLlxLKfrLWiXjwtZ04mj5dq_DPGnIW4nyuiwE3grManmLyHfJ8kmaPM0-sE-FzkKGkVZSfTG2cOetvzM4odGt-O6lfBXCVbD7POZ5rrhbOpHPiPRESv_Q2GCsX8cjqm0bPI4-lcHE1HLVqmsFJSi8rTSoyUhUqbZxM24qTNQABsgJ2H4np78VzDKV_i1jqNtpwe2gWV9TZlnH6IRSL5cy6oX4tbiaJfW_hZwzZuc
中正區,餐廳,ChIJr1zL6w6pQjQR7vQtUE63e14,季然食事,4.7,152,"['restaurant', 'point_of_interest', 'food', 'establishment']","60之4號, 濟南路二段中正區台北市台灣 100023",121.5320097,25.0401434,OPERATIONAL,{'open_now': True},AeeoHcKVlepGGRrjHA9OV75iVWWwh6YTdmgtmCrcVcUUN5-alD7bryINXUMgywRc367SHKBvc38TjHHb_hW2V8ivFGAPfrJZGUx6yVsJBoNBqWeTtsVWeotCyO1HjH1VlAb9RlJnjS7-ZAzjte3bVwiEVTaYY6yDBluxYYcMO9p_Kp331ObZMmihGVWgYVMbep7bhvDXzoZXZdfQDxjN980JJj-V5wCoX40X8Dmm75-MrFwD-SQuPbrLXYmb9y1cSVHdYPZBrvQkE3Uxj10IupCmPRBkTPgtPKfBHU0qPPClewqUiy4c3nc
中正區,餐廳,ChIJMUqmM3OpQjQRTKkB0Ue1hHA,翡冷翠義式餐廳,4.6,4682,"['restaurant', 'point_of_interest', 'food', 'establishment']",100台灣台北市中正區漢口街一段15號1樓,121.514443,25.0452935,OPERATIONAL,{'open_now': True},AeeoHcLhiUKUDEVuzLm5cG-DijBlZlavWay0N3XN-HG1kPdoCllOEpiFtP_-5Y5OgdnI5HDtjr8JSrdIKLsGPve7eC2Br7FfMFJuoyY7vXz5nxhhyB6qHXEAv25tFEyuVc7SErC29SeEo-LLFze6UqgcRvZ0e58dykmlOpbcNJotad-FZjqLbZF8uchGfvCJjmKz4ZYb0RIXyxsYWBSH4ewZea63XIhs_Lf-BHdxkYOWn_Z-fvWgY9x4C1NczrBv0bKG3_n1-tHeOHbR9M6qQ5aLpxUUCsG31ef5cpkq2hENRASPdNZMBYM
中正區,餐廳,ChIJX09S9XCpQjQRPaixaaRO7i0,Petit France 小法國餐館,4.5,1270,"['restaurant', 'point_of_interest', 'food', 'establishment']",100台灣台北市中正區青島東路21-4號1樓,121.5241585,25.0438525,OPERATIONAL,{'open_now': False},AeeoHcJFy1Ne7DpOuQcrUFBWOkQH9MJf0kOL-X3YGQzQdjQulQhIWLpMVeBGtAvoWecjaniVky5CffZhqooROpFM-JHAIs9DOYSZJAt5HS3cdd4rT4eKf4_jQ2SewewOsEhse97Nv4erOdc0h_v01habcYhWKDKM0epFK_lP5uc6eAdyDeAjjndmog_rvaBXWvDjZMoJxo4_Da8qcTQru7HVEK2qNwJa1vdJKG3cfEBEbFu31F1EhTnUjlwY62bg-5f4fp-fHN4GkBDLQxgVDapzIHMMRTrdXPQD9yh-ec215kSYPJ1Sikk
