s_name,b_hour,county,address,rate,geo_loc,pic_url,gmaps_url,type,comm,area,create_time,update_time
蘇澳冷泉公園,星期一10:00–21:00星期二10:00–21:00星期三10:00–21:00星期四10:00–21:00星期五10:00–21:00星期六10:00–21:00星期日10:00–21:00,宜蘭縣,宜蘭縣蘇澳鎮冷泉路6之4號,3.8,"121.85070,24.59731",https://lh3.googleusercontent.com/p/AF1QipMRKVzKJG9pEW2PwSECkQ352bHMLJos88DiBoiB=w408-h544-k-no,https://www.google.com/maps/place/?q=place_id:ChIJl46E4DXoZzQRguSwNiYmEyM,戶外,7309,蘇澳鎮,2025-05-05 12:54:26,2025-05-05 12:54:26
豆腐岬風景區,星期一24 小時營業星期二24 小時營業星期三24 小時營業星期四24 小時營業星期五24 小時營業星期六24 小時營業星期日24 小時營業,宜蘭縣,宜蘭縣蘇澳鎮,4.3,"121.87143,24.58382",https://lh3.googleusercontent.com/p/AF1QipNQnWEmxpfZvww96IEisSJSH8O26HqLUskmlBW5=w408-h306-k-no,https://www.google.com/maps/place/?q=place_id:ChIJtUP3qTXoZzQRH9XGPtgr2j0,戶外,6291,蘇澳鎮,2025-05-05 12:54:26,2025-05-05 12:54:26
武荖坑風景區,,宜蘭縣,宜蘭縣蘇澳鎮武荖坑路75號,4.2,"121.81447,24.61061",https://lh3.googleusercontent.com/p/AF1QipOBOjoRhbHY15zAFMztbCKvkzv4ZWDrzwqq4Uqb=w408-h270-k-no,https://www.google.com/maps/place/?q=place_id:ChIJTZgZcHboZzQRDdgb5km-Ros,戶外,3218,蘇澳鎮,2025-05-05 12:54:26,2025-05-05 12:54:26
頂寮生態公園,星期一24 小時營業星期二24 小時營業星期三24 小時營業星期四24 小時營業星期五24 小時營業星期六24 小時營業星期日24 小時營業,宜蘭縣,宜蘭縣蘇澳鎮頂寮,3.6,"121.84275,24.63944",https://lh3.googleusercontent.com/p/AF1QipPKH9Hkuk1U-32MbZs7eC2L1af04zYMfQe_Lp_4=w408-h306-k-no,https://www.google.com/maps/place/?q=place_id:ChIJibyDQejoZzQReCK_U9UbbVU,戶外,222,蘇澳鎮,2025-05-05 12:54:26,2025-05-05 12:54:26
砲台山風景區,星期一24 小時營業星期二24 小時營業星期三24 小時營業星期四24 小時營業星期五24 小時營業星期六24 小時營業星期日24 小時營業,宜蘭縣,宜蘭縣蘇澳鎮,3.9,"121.85699,24.59322",https://lh3.googleusercontent.com/p/AF1QipNhUf_17jdt2-W1J-Hkx5mIYy9wC5_z5jHoE8xv=w408-h306-k-no,https://www.google.com/maps/place/?q=place_id:ChIJAQAAQDPoZzQRuVNnGlQBeoU,戶外,613,蘇澳鎮,2025-05-05 12:54:26,2025-05-05 12:54:26
宜蘭餅發明館,星期一08:30–18:00星期二08:30–18:00星期三08:30–18:00星期四08:30–18:00星期五08:30–18:00星期六08:30–18:00星期日08:30–18:00,宜蘭縣,宜蘭縣蘇澳鎮海山西路369號,4.4,"121.82917,24.61456",https://lh3.googleusercontent.com/p/AF1QipOPmkYjvUEJVXL7HfuuovRB8FBHYTfeuGDJxkvU=w408-h275-k-no,https://www.google.com/maps/place/?q=place_id:ChIJb6lDH2boZzQR871NrJByho4,室內,20573,蘇澳鎮,2025-05-05 12:54:26,2025-05-05 12:54:26
南方澳討海文化館,星期一09:00–12:0013:00–16:00星期二09:00–12:0013:00–16:00星期三09:00–12:0013:00–16:00星期四09:00–12:0013:00–16:00星期五09:00–12:0013:00–16:00星期六09:00–12:0013:00–16:00星期日09:00–12:0013:00–16:00,宜蘭縣,宜蘭縣蘇澳鎮跨港路2號,3.8,"121.87187,24.58525",https://lh3.googleusercontent.com/p/AF1QipO9eVoiz2foh-DnC9Hv6_jBHqPqAZIqeIgk3IkG=w408-h299-k-no,https://www.google.com/maps/place/?q=place_id:ChIJtWzbZ9DpZzQRCBe38uch6IY,室內,153,蘇澳鎮,2025-05-05 12:54:26,2025-05-05 12:54:26
奇麗灣珍奶文化館,星期一10:00–17:00星期二10:00–17:00星期三10:00–17:00星期四10:00–17:00星期五10:00–17:00星期六09:30–17:30星期日09:30–17:30,宜蘭縣,宜蘭縣蘇澳鎮頂強路23號,4.2,"121.83672,24.63421",https://lh3.googleusercontent.com/p/AF1QipPU8vDdqD3vhcKoZEz2Llk-GOo0BOjZ7Y2WTCSo=w408-h270-k-no,https://www.google.com/maps/place/?q=place_id:ChIJE9Hm6u3oZzQRHOcpGbeT_8A,室內,21795,蘇澳鎮,2025-05-05 12:54:26,2025-05-05 12:54:26
祝大漁物產館 ZHU DAYU Culture Museum,星期一09:00–17:00星期二09:00–17:00星期三09:00–17:00星期四09:00–17:00星期五09:00–17:00星期六09:00–17:00星期日09:00–17:00,宜蘭縣,宜蘭縣蘇澳鎮江夏路52之2號,3.7,"121.86639,24.58526",https://lh3.googleusercontent.com/p/AF1QipMEfGfyaDjk7UM8dizk-NxSIfJX7vbXwl5KFiA=w408-h272-k-no,https://www.google.com/maps/place/?q=place_id:ChIJiYeA6c_pZzQRdLkmO0Blx_Q,室內,4312,蘇澳鎮,2025-05-05 12:54:26,2025-05-05 12:54:26
橘之鄉蜜餞形象館,星期一08:30–17:30星期二08:30–17:30星期三08:30–17:30星期四08:30–17:30星期五08:30–17:30星期六08:30–17:30星期日08:30–17:30,宜蘭縣,宜蘭縣宜蘭市梅洲二路33號,4.3,"121.73683,24.78010",https://lh3.googleusercontent.com/p/AF1QipO4ATuszP1YbhXYV5JXCtTKjnCmdYGNRthpRRN7=w408-h271-k-no,https://www.google.com/maps/place/?q=place_id:ChIJYa-rS0n7ZzQRq6rvo8hKYmg,室內,6728,宜蘭市,2025-05-05 12:54:26,2025-05-05 12:54:26
