Name,Rate,Comm,Url,Address,Business_Time,geo_loc
台灣惠蓀咖啡 HUISUN COFFEE_品牌館,5.0,"9,493",https://www.google.com.tw/maps/place/%E5%8F%B0%E7%81%A3%E6%83%A0%E8%93%80%E5%92%96%E5%95%A1+HUISUN+COFFEE_%E5%93%81%E7%89%8C%E9%A4%A8/data=!4m7!3m6!1s0x3468d9c324ecb715:0x5b54b4180820ea2d!8m2!3d23.9777474!4d120.9185377!16s%2Fg%2F11k3qnj3pk!19sChIJFbfsJMPZaDQRLeogCBi0VFs?authuser=0&hl=zh-TW&rclk=1,,星期二、09:00 到 18:00; 星期三、09:00 到 18:00; 星期四、09:00 到 18:00; 星期五、09:00 到 18:00; 星期六、09:00 到 18:00; 星期日、09:00 到 18:00; 星期一、09:00 到 18:00. 隱藏本週營業時間,POINT(23.9777474 120.9185377)
築樂珈琲,4.4,687,https://www.google.com.tw/maps/place/%E7%AF%89%E6%A8%82%E7%8F%88%E7%90%B2/data=!4m7!3m6!1s0x3468d83316d93157:0xace8a2dd32eeb895!8m2!3d23.9489368!4d120.9400095!16s%2Fg%2F11f125zvlb!19sChIJVzHZFjPYaDQRlbjuMt2i6Kw?authuser=0&hl=zh-TW&rclk=1,,星期二、11:30 到 17:00; 星期三、11:30 到 17:00; 星期四、11:30 到 17:00; 星期五、11:30 到 17:00; 星期六、休息; 星期日、休息; 星期一、休息. 隱藏本週營業時間,POINT(23.9489368 120.9400095)
三月半咖啡-草屯網美咖啡廳|熱門咖啡館|網美下午茶|網美餐廳|打卡咖啡廳|聚餐餐廳|人氣餐廳|在地推薦餐廳,4.8,"4,963",https://www.google.com.tw/maps/place/%E4%B8%89%E6%9C%88%E5%8D%8A%E5%92%96%E5%95%A1-%E8%8D%89%E5%B1%AF%E7%B6%B2%E7%BE%8E%E5%92%96%E5%95%A1%E5%BB%B3%7C%E7%86%B1%E9%96%80%E5%92%96%E5%95%A1%E9%A4%A8%7C%E7%B6%B2%E7%BE%8E%E4%B8%8B%E5%8D%88%E8%8C%B6%7C%E7%B6%B2%E7%BE%8E%E9%A4%90%E5%BB%B3%7C%E6%89%93%E5%8D%A1%E5%92%96%E5%95%A1%E5%BB%B3%7C%E8%81%9A%E9%A4%90%E9%A4%90%E5%BB%B3%7C%E4%BA%BA%E6%B0%A3%E9%A4%90%E5%BB%B3%7C%E5%9C%A8%E5%9C%B0%E6%8E%A8%E8%96%A6%E9%A4%90%E5%BB%B3/data=!4m7!3m6!1s0x346931621b3ebf49:0xa61e32c7a6bf5960!8m2!3d23.976512!4d120.6863443!16s%2Fg%2F11rckwddt8!19sChIJSb8-G2IxaTQRYFm_pscyHqY?authuser=0&hl=zh-TW&rclk=1,,星期二、11:00 到 21:00; 星期三、11:00 到 21:00; 星期四、11:00 到 21:00; 星期五、11:00 到 21:00; 星期六、11:00 到 21:30; 星期日、11:00 到 21:30; 星期一、11:00 到 21:00. 隱藏本週營業時間,POINT(23.976512 120.6863443)
鹿篙咖啡莊園,4.1,"6,210",https://www.google.com.tw/maps/place/%E9%B9%BF%E7%AF%99%E5%92%96%E5%95%A1%E8%8E%8A%E5%9C%92/data=!4m7!3m6!1s0x3468d7ff153d4cc3:0x7ce5e340127c01d8!8m2!3d23.9166701!4d120.9422494!16s%2Fg%2F11fn56_868!19sChIJw0w9Ff_XaDQR2AF8EkDj5Xw?authuser=0&hl=zh-TW&rclk=1,,星期二、09:00 到 17:00; 星期三、09:00 到 17:00; 星期四、09:00 到 17:00; 星期五、09:00 到 17:00; 星期六、09:00 到 17:00; 星期日、09:00 到 17:00; 星期一、09:00 到 17:00. 隱藏本週營業時間,POINT(23.9166701 120.9422494)
先得月 Tea lounge,4.9,"6,983",https://www.google.com.tw/maps/place/%E5%85%88%E5%BE%97%E6%9C%88+Tea+lounge/data=!4m7!3m6!1s0x3468d75e71c65c09:0x732cfc852435afe!8m2!3d23.8701799!4d120.9267409!16s%2Fg%2F11t17ly52j!19sChIJCVzGcV7XaDQR_lpDUsjPMgc?authuser=0&hl=zh-TW&rclk=1,,星期二、12:00 到 19:00; 星期三、12:00 到 19:00; 星期四、12:00 到 19:00; 星期五、12:00 到 19:00; 星期六、12:00 到 19:00; 星期日、12:00 到 19:00; 星期一、12:00 到 19:00. 隱藏本週營業時間,POINT(23.8701799 120.9267409)
鐵帽咖啡,4.5,314,https://www.google.com.tw/maps/place/%E9%90%B5%E5%B8%BD%E5%92%96%E5%95%A1/data=!4m7!3m6!1s0x346926dba14bfaed:0x908bf149d7fca951!8m2!3d24.0275721!4d120.8421158!16s%2Fg%2F1tm27f6h!19sChIJ7fpLodsmaTQRUan810nxi5A?authuser=0&hl=zh-TW&rclk=1,,星期二、11:00 到 18:00; 星期三、11:00 到 18:00; 星期四、11:00 到 18:00; 星期五、11:00 到 18:00; 星期六、11:00 到 18:00; 星期日、11:00 到 18:00; 星期一、11:00 到 18:00. 隱藏本週營業時間,POINT(24.0275721 120.8421158)
日晨咖啡烘焙 (SUNDaWN COFFEE ROASTER)南投 咖啡豆烘焙批發、零售、濾掛一站式代工專門店,4.8,401,https://www.google.com.tw/maps/place/%E6%97%A5%E6%99%A8%E5%92%96%E5%95%A1%E7%83%98%E7%84%99+%28SUNDaWN+COFFEE+ROASTER%29%E5%8D%97%E6%8A%95+%E5%92%96%E5%95%A1%E8%B1%86%E7%83%98%E7%84%99%E6%89%B9%E7%99%BC%E3%80%81%E9%9B%B6%E5%94%AE%E3%80%81%E6%BF%BE%E6%8E%9B%E4%B8%80%E7%AB%99%E5%BC%8F%E4%BB%A3%E5%B7%A5%E5%B0%88%E9%96%80%E5%BA%97/data=!4m7!3m6!1s0x346931ce1a43979b:0x7181b3d6fea43721!8m2!3d23.9103946!4d120.6834696!16s%2Fg%2F11gczv_fjz!19sChIJm5dDGs4xaTQRITek_tazgXE?authuser=0&hl=zh-TW&rclk=1,,星期二、休息; 星期三、09:00 到 17:00; 星期四、09:00 到 17:00; 星期五、09:00 到 17:00; 星期六、09:00 到 17:00; 星期日、09:00 到 17:00; 星期一、09:00 到 17:00. 隱藏本週營業時間,POINT(23.9103946 120.6834696)
六千金咖啡six sisters cafe,4.3,295,https://www.google.com.tw/maps/place/%E5%85%AD%E5%8D%83%E9%87%91%E5%92%96%E5%95%A1six+sisters+cafe/data=!4m7!3m6!1s0x3469310a63fd0455:0xfa5e956cfe747059!8m2!3d23.9424052!4d120.6923947!16s%2Fg%2F11fs_jst22!19sChIJVQT9YwoxaTQRWXB0_myVXvo?authuser=0&hl=zh-TW&rclk=1,,星期二、休息; 星期三、09:15 到 17:00; 星期四、09:15 到 17:00; 星期五、09:15 到 17:00; 星期六、09:15 到 17:00; 星期日、09:15 到 17:00; 星期一、休息. 隱藏本週營業時間,POINT(23.9424052 120.6923947)
蠻荒咖啡,4.1,"4,872",https://www.google.com.tw/maps/place/%E8%A0%BB%E8%8D%92%E5%92%96%E5%95%A1/data=!4m7!3m6!1s0x3468d7ac050f5e3f:0x5838c719896cc43a!8m2!3d23.8820636!4d120.9208264!16s%2Fg%2F11b7vx4mcl!19sChIJP14PBazXaDQROsRsiRnHOFg?authuser=0&hl=zh-TW&rclk=1,,星期二、10:30 到 18:00; 星期三、10:30 到 18:00; 星期四、10:30 到 18:00; 星期五、10:30 到 18:00; 星期六、10:00 到 18:00; 星期日、10:00 到 18:00; 星期一、10:30 到 18:00. 隱藏本週營業時間,POINT(23.8820636 120.9208264)
攝香咖啡館,4.8,272,https://www.google.com.tw/maps/place/%E6%94%9D%E9%A6%99%E5%92%96%E5%95%A1%E9%A4%A8/data=!4m7!3m6!1s0x34693073ca338359:0xe0bca7f20c4f1c2f!8m2!3d23.983539!4d120.684526!16s%2Fg%2F12hyf_2yt!19sChIJWYMzynMwaTQRLxxPDPKnvOA?authuser=0&hl=zh-TW&rclk=1,,星期二、11:00 到 21:00; 星期三、11:00 到 21:00; 星期四、休息; 星期五、11:00 到 21:00; 星期六、10:00 到 21:00; 星期日、10:00 到 21:00; 星期一、11:00 到 21:00. 隱藏本週營業時間,POINT(23.983539 120.684526)
