gov Id 識別碼,Place ID,名稱,評分,評論數,分類標籤,地址,經度,緯度,營業狀態,營業時間,圖片資訊
C3_376430000A_000034,ChIJXwb1Kf4eaDQRG05sWy1vobo,老賊壽司,4.3,5974,"['restaurant', 'point_of_interest', 'food', 'establishment']",桃園市桃園區中正路328號,121.3092407,24.9979175,OPERATIONAL,{'open_now': False},AeeoHcIALvdCaE8VWK-A2q6PfoHGGZ8n4SQsN0VUy8suI2kMPgkokO2C-yBixmd-6OM8bkvJfb68o0PPTNZi5m96OtX5gUnSkFET1vfxl9q1cSfqpbcp2UcZZaG9I7bbD60R_0pnhgsKaHXjW1v2ldyM7SCka4oWlza4C05mddlq3Hhbwsuu2bJGrPX0kNGX_zZH_mwORy4RR9Pq3NKIpNdC7caEyODfaL2J20gKGRyYRL6ShM4P0qik192JSJlzlV_xU0SAH1CqUal1j5X_7aYcuc5nwzc3xA8pFOHw5mkBYD8Qr-fzJB8
C3_376430000A_000045,ChIJo4GzY0weaDQRXuZCaV5BVMc,灶腳小館,4.3,1915,"['restaurant', 'point_of_interest', 'food', 'establishment']",桃園市桃園區大興路218號,121.3130027,25.0160734,OPERATIONAL,{'open_now': True},AeeoHcIFTekEZIHaBA95saGJwSWwx-GpRT51kvFeLfXidlM02kRp8WDNtpT756RcfKs_lxhLZoACMJ-eDy26ZHT8npOzknLsVExsVY6rr5Zvlpzp8g2tm9u2YUEPS-tLcLLd38Pa_IteD0mBUstm8JaCNPf9SlTh9PJsx8Fib4Fl0izK62SPmbLF1rOwZwu-jus6a0Ad6gBgCcJLHrhFxhSzskPvg14N6JQRQykBSqX2GSZng1jAWBI75QkLIpKV3Jpc6_Y9yTKyokLQccYalcrJU6TNB40CMrlhY4RdpRwWq9jakwa2MSs
C3_376430000A_000071,ChIJu-QjudMWaDQRH7yFvP3NkEY,元發飲食店,4.3,43,"['restaurant', 'point_of_interest', 'food', 'establishment']",桃園市復興區中山路13之1號,121.3502569,24.8145824,OPERATIONAL,{'open_now': False},AeeoHcL7gmqDPS3bMgbcOf9TPlrZOiNirpLkrDtlSoUYGUkkkZlpfn34b9YrUidrzrTMnu1lKl9EylOAMBIi17iUvDaHjqNo-KyqlHC6zK5WPHvEBbIylbfTe59fAifVtkDZxjPTQEF5ysOEUBJ3DB135mNxboI_6t7GHbRNTxDH8ThRubuYk5MnyD9RnGy13BEM_1VZycxBZhbIt3WiXTxyb3WDyqruqOx3Pq8decsMEb4rA4fy10OjcCBzufmtElQ7RQCYW8bIIm5JtSdIoZ5tLi119aJFleQTNegmwc7ysgdi6dHMIAVm3-_fRKqDY7diy5cS-v160AmxV0H1Tl6yVNgdF3-h0kH5xGm1I5izXkIwgPNi4FFcUZEBepKHkcl7ekni1eYjmaMIWEyp0bNw08v5ezia2b4GV1xkM5EfcWfhxdKHaWXyBlNKfNKJb2CSBAGO7r7JEfSH1BScuGwV_RagVoV6SGr_mYJ18z-H2H-y3gwML-Br8JCgwq8lUODBhW-rGMijwmeP06RMZP7uExiAUPuC4cNf04IreMDAegiS8UUslfqIbc0hOmBXVO_LSMnjp-o5P40eXA
C3_376430000A_000113,ChIJK8FVtsokaDQRnKDHlI1qaAs,首烏客家海鮮餐廳,4.2,1762,"['restaurant', 'food', 'point_of_interest', 'establishment']",桃園市楊梅區新成路61號,121.1469346,24.9115827,OPERATIONAL,{'open_now': True},AeeoHcIoZevbD32oldM2AqNOEnnAtdTRCso7lZYNjOAyLiJbshWG2JE1fw4WkBt6ftzadkxB_eUqw8qRf_THBzhBIMODSRg_JoKP4PLZHUAIy9g6aq5vpJRZPPt0GwYR8V-Eki7MmzbnkJnKwoPYY-nkfGtC1Nn140nnOGZFrpSq69UHgG0lcgC65F1Yd1uToPmTHy9rLPofouyxZBfs-DxkXT7rXf8PeB2EIFC8lkPQy69HDIATTUuZ3pl9Kckc67eDUjv_1iJWx3_h8CLPbXRqrSe74Kk3N36Nui632GK1Mj1o1yWSff0CigX9M_kMFS-Hm2fDy8XRjtsIWzkqHPaQlJOJNvUhqQwQMglsmXUcRcfIIN3IfIfMLd1gj2c7FPmEDDOVRPrG6nSWq13ibw5iZQKhHybM_IpCF8fd8XENgi-Tw9M43jDesz4eJXdn4BjeIuoLo6__kgE5_1aYTltOYAbyTJBKBUBW6UGdNOWTSAJEnlPk41pWTbULpNqmVRl5SijCIeuSbp8UuTEMrrCy5emnu21-cibgB_XsaF-_uX269klk-QsfZsZ5IZQiHGcFZGUJRg
C3_376430000A_000138,ChIJbX8Wu6ygQjQRF9QJGX_TQbc,稻鄉村客家莊,4.0,1252,"['restaurant', 'point_of_interest', 'food', 'establishment']",桃園市龜山區忠義路二段118巷69號,121.3570094,25.0424338,OPERATIONAL,{'open_now': True},AeeoHcKn-U3LE2hgzzG_iy3zws2_4V_njjIaCcdkVSUn9YssoobGjOOHKCvRgAImH-i46uXuC8_nN511aO6OfJGuQCuCCR0oZdPEWfXtkODh29gfusNJPtk9-YFuF5jY1NP1BHtA0g0nix0TjXKVxN_DJyOjr6yc3DJnfCF9_R_HYflTPT1G4A3eYuAr8vhnYsteGyhKXgoku5WXc8EkXe-XLzUImatJMlejKgibiGeh_UBbibts3lLfbbUoeT_3FYJ_qi2CCF_aO02EXv66dJYfGhlKuXZ56k0qv8iQEfEXl-T92h8OsJAwNW1zmHjBwA_YsSVlQ-_3oFaCFO_1_0zrRdMOtRw81aRO6Pys5xvVexPfw_h_htgGJE41BosHRoPbThe7wUuEyct5NwkgSJoTSTYJRupk5f9NUC3eL_F8yQpdhtcN9iLn7zwzqyd9d1YHOp0wz-Omid0gWl6ibMDPOWJwuWyKHnqIu54KF6UKnbp6vu6JaiUP3oC1rO2UOGeR4UIhrdEkAOybdCg2tPqsHUk6_RqSapIzMkenn3UiWxhevlUWfNE_7KKU0PXNiQgElr25diM9O4f_-A
C3_376430000A_000198,ChIJiQqMgO8faDQR05Ye6ku0vsE,張家土雞城,4.0,2681,"['restaurant', 'food', 'point_of_interest', 'establishment']",桃園市蘆竹區蘆興街451號,121.2764779,25.0405628,OPERATIONAL,{'open_now': True},AeeoHcJXcIoepUWyAwGJ3ca4WvFaWcnkcudRwBJRpLSpfQ9QiNvzwfkJyxRbyHwvndYBN1KwpXVKjwxsQXUgIba6-sVruSkv7eaG58rX2zi_d9aa9PnGtNbb7Vz2HO1KQMN3biVGagMOj4itp8KMXGKPlh8vHLsj-Y3C9bYJkIe5gO2HPLAc9-fb8AB5aLvoWtImPwmFAqh7PGqloSP7-58xPPP-T0vXgfVpIgGyfUIZ63_RfarwwEtwPlldYk_Hy5-v0UJ5PdMYm3WYVJxwuQYSMF-a0z6vAMG07jjdyin-FQaI7vw-I_k
C3_376430000A_000219,ChIJYwoRBUsiaDQRmaW_78LntJ4,三角店客家菜包,3.8,1071,"['restaurant', 'food', 'point_of_interest', 'establishment']",桃園市中壢區中正路272號,121.2190691,24.9551273,OPERATIONAL,{'open_now': True},AeeoHcLwdNe6DsxcDgiez4MJGenzkTsvLyOlyH_m-SvDSQHzonBzQdWE_eZKbuvqHKr1fnupTUp-uDMsYNB-rU9GiHrMQ6ppNshAkecsJXHPr0mVxf7Zp1rlNS5m7U_Lz6U4djA05YsslkoYIHTgQZGrZlv91TyTnOp7cAf5yeN4XMmfivHICjY6nBXvWDmtbEIXBXvjcVeYkXthD-g1eiTCT0WxGrgeKHUg-WEZqF0qYml_kYUtHO5JD3tpO6KvoHpfaVuxBj_o_HocNn9JOUlrm-4KGrzziLfSme131LviNA09OrZ8mOP3ARpaTfKXvNmXOiP0VfvGH4Ycycz8nzh7hrNkToRPzlK0XPzjM4ICUZ3eZu-4c2wgt2YrCE5Q-XGtWLl5HQp2nxpRLd-CUWFVUWsdl25nlGxwbDXVuvcJ3ddxXPFoKge76mG2IdOuBUvP4XMH8zsPRcv3FbIUd7MbqUHQZgVZDa44pbQ-pP3PCnDlcALWSaE_ExbGyJzyq9BfMyTxAcFI7icVzrHJ8CZRB_vCAGFDsMmnJmUrwhYVvJW5aIgLcOpbullshwW2ZnOlUkAdWGqq
C3_376430000A_000220,ChIJoeupBUsiaDQRqNJ0pxx7UAg,劉媽媽菜包店,3.8,3531,"['bakery', 'store', 'restaurant', 'food', 'point_of_interest', 'establishment']",桃園市中壢區中正路268號,121.2190801,24.9551126,OPERATIONAL,{'open_now': True},AeeoHcJGoQVtArriMLdVsdG6ymdx3gMTkvq3jUv2dzGM58Zc-dnNZJ4ru0RXUouKAs86MyjFlYm0cmBd6ZZKgRw9TkFhXcnwIqJ91dw9boJEEQxiTDySJADC6-dZ4suMbREDePg-pMmb5CA0JEk7hXlrxSuvkhwq8YzJ3AuYn9jSjqAU50bMRbmW9GlxUmO_Zy6q2pHjGeuT4MfmFX9PIxHpB8Vjr4tuJ2cylpiXrtUd05ih9ef0FDQSDs7-bVMgqJG21A_vXXjh5IPiXBJlOegVGevhp2U3lExvACRFLyP07Q5VlKcscZM
C3_376430000A_000223,ChIJjQ0EDTYiaDQRQSn6Q_tiPu0,禪園人文花園餐廳,4.1,1281,"['restaurant', 'point_of_interest', 'food', 'establishment']",桃園市中壢區廣安街32號2樓,121.2229989,24.9584619,OPERATIONAL,{'open_now': True},AeeoHcJK2SvtHNI9gAY8RS5PelUvN6mSWQlncegK_wQzATAv_HzIb6xYy8WPdSwbcIMu3nh8A58fQQd7YgveHTyIwyx3cmPXo5lTPVFV3_jbff2SzjfVV0W7LoqLFIMUJMbXyNBPsNR8b1ajgiBWnADb6jyc6YBYB0KUm8rhIT0nCBuvvZJhgfPbOrOjDjSE6Gifo8x7PUhXumEVX2Y9uEooHB7KUCCsz61pWiSToOc7uODolv_sZmcB07TLB32-HCRYHw3dQLKSX7A-ldrqCVG0RPrGJJcRwGAqChIibYDa55VRPMYQXMA
C3_376430000A_000234,ChIJyfzFx5oiaDQRhJ7g--DycLc,雲南館,4.2,1165,"['restaurant', 'point_of_interest', 'food', 'establishment']",桃園市平鎮區平東路39號,121.2527494,24.91789,OPERATIONAL,{'open_now': True},AeeoHcK7lfS4-6NnH3WaaH6qDl3tlmM8ylHkJ8ud19QPbZ31-qW_ypiCnjyfNyPykZqwyah5t42D1yFxt_xl5A0i0NO5BOJ6uCazgxvfv6riDsdJv2-KlVE3ngRcvsd3w3OyEJwqMlT9AMMtfQmKQdmyRapIcaYQbolu-srmbxQQNdGPpDLBZqyJwV-DjDwO2YUZbOrOAWWDWvOfkPBo-R3o41fDi49BdsWRkF7v-REX8U52VvJmYJyzIU0bGpoLZJUm9xqkuQhFVk-pV3sKZGPOgtr60MIQCoywskYk2F0eRSlTrTZwgvw
