id_open,name_open,region_open,town_open,add_open,place_id,f_name,rate,comm,types,address,lng,lat,business_status
C3_376430000A_000034,老賊壽司,桃園市,桃園區,桃園市330桃園區中正路328號,ChIJXwb1Kf4eaDQRG05sWy1vobo,老賊壽司,4.3,5974,"['restaurant', 'point_of_interest', 'food', 'establishment']",330台灣桃園市桃園區中正路328號,121.3092407,24.9979175,OPERATIONAL
C3_376430000A_000045,灶腳小館,桃園市,桃園區,桃園市330桃園區大興路218號,ChIJo4GzY0weaDQRXuZCaV5BVMc,灶腳小館,4.3,1915,"['restaurant', 'point_of_interest', 'food', 'establishment']",330台灣桃園市桃園區大興路218號,121.3130027,25.0160734,OPERATIONAL
C3_376430000A_000056,金河冬粉丸,桃園市,桃園區,桃園市330桃園區復興路342號,ChIJr3VPHR0faDQR6pJHViW96L8,金河冬粉丸,3.9,1243,"['store', 'food', 'point_of_interest', 'establishment']",330台灣桃園市桃園區復興路342號,121.3054265,24.9893748,OPERATIONAL
C3_376430000A_000071,元發飲食店,桃園市,復興區,桃園市336復興區澤仁里中山路13之1號,ChIJu-QjudMWaDQRH7yFvP3NkEY,元發飲食店,4.3,43,"['restaurant', 'point_of_interest', 'food', 'establishment']",336台灣桃園市復興區中山路13-1號,121.3502569,24.8145824,OPERATIONAL
C3_376430000A_000071,元發飲食店,桃園市,復興區,桃園市336復興區澤仁里中山路13之1號,ChIJc71x_NQWaDQR0Gwh_ynR2KY,源元發飲食店,3.8,289,"['restaurant', 'point_of_interest', 'food', 'store', 'establishment']",336台灣桃園市復興區中正路138-1號號,121.351779,24.818278,OPERATIONAL
C3_376430000A_000073,桃園觀光夜市,桃園市,桃園區,桃園市330桃園區中正路與北埔路口,ChIJ4crHk6ofaDQRE3cC4KSFkuo,桃園觀光夜市,4.0,19660,"['tourist_attraction', 'point_of_interest', 'establishment']",330台灣桃園市桃園區中正路與號北埔路交叉口,121.3060018,25.0026972,OPERATIONAL
C3_376430000A_000088,瑞士鄉村農莊,桃園市,復興區,桃園市336復興區復興路三段1028之2號,ChIJQzU74rs9aDQR0Cdv74GUPd4,瑞士鄉村/TINA廚房-復興店,4.5,3598,"['restaurant', 'point_of_interest', 'food', 'store', 'establishment']",336台灣桃園市復興區復興路三段1028之1號,121.3511778,24.8229947,OPERATIONAL
C3_376430000A_000112,八方園客家餐館,桃園市,楊梅區,桃園市326楊梅區校前路580號,ChIJ27u5SkA7aDQRNZ-Rs8hmPuY,八方園百年三合院景觀客家餐廳,4.8,10230,"['cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']",326台灣桃園市楊梅區校前路580號,121.1467328,24.894416,OPERATIONAL
C3_376430000A_000113,首烏客家海鮮餐廳,桃園市,楊梅區,桃園市326楊梅區新成路61號,ChIJK8FVtsokaDQRnKDHlI1qaAs,首烏客家海鮮餐廳,4.2,1762,"['restaurant', 'food', 'point_of_interest', 'establishment']",326台灣桃園市楊梅區新成路61號,121.1469346,24.9115827,OPERATIONAL
C3_376430000A_000138,稻鄉村客家莊,桃園市,龜山區,桃園市333龜山區大崗里忠義路二段118巷69號,ChIJbX8Wu6ygQjQRF9QJGX_TQbc,稻鄉村客家莊,4.0,1252,"['restaurant', 'point_of_interest', 'food', 'establishment']",333台灣桃園市龜山區忠義路二段118巷69號,121.3570094,25.0424338,OPERATIONAL
C3_376430000A_000198,張家土雞城,桃園市,蘆竹區,桃園市338蘆竹區蘆興村蘆興街451號,ChIJiQqMgO8faDQR05Ye6ku0vsE,張家土雞城,4.0,2681,"['restaurant', 'food', 'point_of_interest', 'establishment']",338台灣桃園市蘆竹區蘆興街451號,121.2764779,25.0405628,OPERATIONAL
C3_376430000A_000219,三角店客家菜包,桃園市,中壢區,桃園市320中壢區中正路272號,ChIJYwoRBUsiaDQRmaW_78LntJ4,三角店客家菜包,3.8,1071,"['restaurant', 'food', 'point_of_interest', 'establishment']",320台灣桃園市中壢區中正路272號,121.2190691,24.9551273,OPERATIONAL
C3_376430000A_000220,劉媽媽菜包店,桃園市,中壢區,桃園市320中壢區中正路268號,ChIJoeupBUsiaDQRqNJ0pxx7UAg,劉媽媽菜包店,3.8,3531,"['bakery', 'store', 'restaurant', 'food', 'point_of_interest', 'establishment']",320台灣桃園市中壢區中正路268號,121.2190801,24.9551126,OPERATIONAL
C3_376430000A_000221,中原夜市商圈,桃園市,中壢區,桃園市320中壢區中原大學周邊(實踐路與日新路),ChIJM8xOcBUiaDQR0Yg-Bnzg3io,中原夜市,4.2,26971,"['tourist_attraction', 'point_of_interest', 'establishment']",320台灣桃園市中壢區實踐路日新路,121.240614,24.9556104,OPERATIONAL
C3_376430000A_000221,中原夜市商圈,桃園市,中壢區,桃園市320中壢區中原大學周邊(實踐路與日新路),ChIJ-VZEEwAjaDQR3vCJ0N4w_ro,桃園中原商圈,3.7,3,"['point_of_interest', 'establishment']",320台灣桃園市中壢區日新路,121.2393784,24.9546907,OPERATIONAL
C3_376430000A_000221,中原夜市商圈,桃園市,中壢區,桃園市320中壢區中原大學周邊(實踐路與日新路),ChIJE4BpPEoiaDQRtgb3dT8nkdo,中平商圈徒步區,3.9,1677,"['tourist_attraction', 'point_of_interest', 'establishment']",320台灣桃園市中壢區中平路66號,121.2258517,24.9542255,OPERATIONAL
C3_376430000A_000221,中原夜市商圈,桃園市,中壢區,桃園市320中壢區中原大學周邊(實踐路與日新路),ChIJTVRKncojaDQR3W-T_3sKgx4,中壢區觀光夜市,4.2,44390,"['tourist_attraction', 'point_of_interest', 'establishment']",320台灣桃園市中壢區新明路,121.2151627,24.9599913,OPERATIONAL
C3_376430000A_000221,中原夜市商圈,桃園市,中壢區,桃園市320中壢區中原大學周邊(實踐路與日新路),ChIJ9wSWExUiaDQRYtlgtOjDJBo,開運屋地瓜球QQ蛋,3.7,1458,"['store', 'food', 'point_of_interest', 'establishment']",320台灣桃園市中壢區日新路99號,121.2403771,24.9555276,OPERATIONAL
C3_376430000A_000221,中原夜市商圈,桃園市,中壢區,桃園市320中壢區中原大學周邊(實踐路與日新路),ChIJt7aNcxUiaDQRnSgWOWe88Cg,包好甲蔥燒包,4.3,778,"['store', 'food', 'point_of_interest', 'establishment']",320台灣桃園市中壢區實踐路86號,121.2409066,24.955432,OPERATIONAL
C3_376430000A_000221,中原夜市商圈,桃園市,中壢區,桃園市320中壢區中原大學周邊(實踐路與日新路),ChIJEfTL9_IjaDQRfLWz4t7-40Q,低欸賣甜點的,4.8,138,"['store', 'food', 'point_of_interest', 'establishment']",320台灣桃園市中壢區大仁五街59號,121.239855,24.9567922,OPERATIONAL
C3_376430000A_000221,中原夜市商圈,桃園市,中壢區,桃園市320中壢區中原大學周邊(實踐路與日新路),ChIJSUNBehUiaDQRwVrkGD9Y6yg,元氣眼鏡前的中原夜市“原創“手工烤布蕾&其他跟我沒關係Please,4.8,389,"['store', 'food', 'point_of_interest', 'establishment']",320台灣桃園市中壢區實踐路114號,121.2403986,24.9560713,OPERATIONAL
C3_376430000A_000221,中原夜市商圈,桃園市,中壢區,桃園市320中壢區中原大學周邊(實踐路與日新路),ChIJWQJHbxUiaDQRK90NHLTsO40,國王起司馬鈴薯,4.2,238,"['store', 'food', 'point_of_interest', 'establishment']",32016台灣桃園市中壢區實踐路109號,121.2408299,24.9553631,OPERATIONAL
C3_376430000A_000221,中原夜市商圈,桃園市,中壢區,桃園市320中壢區中原大學周邊(實踐路與日新路),ChIJj7w8kBcjaDQR7tRAr4seS9g,奶奶的熊/泰式手沖茶,4.8,221,"['point_of_interest', 'establishment']",320台灣桃園市中壢區實踐路86號,121.2407661,24.9555879,OPERATIONAL
C3_376430000A_000221,中原夜市商圈,桃園市,中壢區,桃園市320中壢區中原大學周邊(實踐路與日新路),ChIJm2Rea28jaDQRawIH7viOyRI,中北黃昏市場,4.0,1828,"['point_of_interest', 'establishment']",320台灣桃園市中壢區中北路二段468號,121.2343531,24.95521,OPERATIONAL
C3_376430000A_000221,中原夜市商圈,桃園市,中壢區,桃園市320中壢區中原大學周邊(實踐路與日新路),ChIJjwtJbTMjaDQRpJdTOkEPNX4,吃香喝辣福建炒麵Hokkien Noodles-中原創始店,4.3,258,"['restaurant', 'food', 'point_of_interest', 'establishment']",320台灣桃園市中壢區實踐路58號,121.2416632,24.9548229,OPERATIONAL
C3_376430000A_000221,中原夜市商圈,桃園市,中壢區,桃園市320中壢區中原大學周邊(實踐路與日新路),ChIJn5BObRUiaDQRyvAP-wfTQLo,中原夜市 頑餅（巨無霸起司鹹酥雞車輪餅）,3.9,288,"['store', 'food', 'point_of_interest', 'establishment']",320台灣桃園市中壢區實踐路68號,121.2412062,24.9551532,OPERATIONAL
C3_376430000A_000221,中原夜市商圈,桃園市,中壢區,桃園市320中壢區中原大學周邊(實踐路與日新路),ChIJx_WHvEMjaDQRjGv15kMz0xY,中原第一家麻辣豆腐鴨血煲,3.7,457,"['restaurant', 'food', 'point_of_interest', 'establishment']",320台灣桃園市中壢區日新路46號,121.2391605,24.9544142,OPERATIONAL
C3_376430000A_000221,中原夜市商圈,桃園市,中壢區,桃園市320中壢區中原大學周邊(實踐路與日新路),ChIJZe8RFRUiaDQR6D_Inz3pbgM,集英會牛肉麵館(中原店)中壢美食 中壢牛肉麵 中壢小吃 中原夜市美食 中原夜市小吃 中原夜市牛肉麵,4.6,2530,"['restaurant', 'food', 'point_of_interest', 'establishment']",320台灣桃園市中壢區三和一街27號,121.241304,24.9546072,OPERATIONAL
C3_376430000A_000221,中原夜市商圈,桃園市,中壢區,桃園市320中壢區中原大學周邊(實踐路與日新路),ChIJyUKECS8jaDQRhewA_BIkZ4I,韓雞飢韓式炸雞專門店-中原夜市總店,3.4,259,"['restaurant', 'food', 'point_of_interest', 'establishment']",320台灣桃園市中壢區實踐路130號,121.2400499,24.9562685,OPERATIONAL
C3_376430000A_000221,中原夜市商圈,桃園市,中壢區,桃園市320中壢區中原大學周邊(實踐路與日新路),ChIJI8Q0e_MjaDQRPG68DGiyXcI,中原校口文創美食商圈,,0,"['school', 'point_of_interest', 'establishment']",320台灣桃園市中壢區中北路165巷,121.2396191,24.9568877,OPERATIONAL
C3_376430000A_000221,中原夜市商圈,桃園市,中壢區,桃園市320中壢區中原大學周邊(實踐路與日新路),ChIJJfo8IhUiaDQRnLKdY7bN3GM,長髮阿伯蔥油餅,4.7,1247,"['store', 'food', 'point_of_interest', 'establishment']",320台灣桃園市中壢區實踐路35號,121.2420806,24.9542021,CLOSED_TEMPORARILY
C3_376430000A_000221,中原夜市商圈,桃園市,中壢區,桃園市320中壢區中原大學周邊(實踐路與日新路),ChIJMdOMKk8jaDQR4D4W8Yu9-zo,抖抖叫 酸奶厚切炒冰 搬家去中壢夜市了,3.8,163,"['restaurant', 'food', 'point_of_interest', 'establishment']",320台灣桃園市中壢區實踐路70巷7號,121.2413605,24.9554139,CLOSED_TEMPORARILY
C3_376430000A_000221,中原夜市商圈,桃園市,中壢區,桃園市320中壢區中原大學周邊(實踐路與日新路),ChIJOQw6N0IjaDQR5exJv0_j2-U,F&S吃貨座,4.4,97,"['restaurant', 'food', 'point_of_interest', 'establishment']",320台灣桃園市中壢區力行北街23號,121.2401469,24.953744,CLOSED_TEMPORARILY
