id_open,name_open,region_open,town_open,add_open,place_id,s_name,rate,comm,types,address,lng,lat,business_status
C1_313020000G_000026,宏亞食品巧克力觀光工廠,桃園市,八德區,桃園縣八德市建國路386號,ChIJ96H7-OoYaDQRfp4Gv9WY3cQ,宏亞食品工廠,4.0,414,"['food', 'point_of_interest', 'store', 'establishment']",334台灣桃園市八德區建國路386號,121.2881995,24.9401053,OPERATIONAL
C1_313020000G_000026,宏亞食品巧克力觀光工廠,桃園市,八德區,桃園縣八德市建國路386號,ChIJ96H7-OoYaDQROPdHKCsGUsg,77巧克力共和國,4.2,8502,"['museum', 'tourist_attraction', 'food', 'point_of_interest', 'store', 'establishment']",334台灣桃園市八德區巧克力街177號,121.2929627,24.9417755,OPERATIONAL
C1_313020000G_000136,臺灣菸酒(股)公司林口觀光酒廠,桃園市,龜山區,桃園縣龜山鄉文化一路55號,ChIJi7XZuD2nQjQRipQbQOBqbJc,臺灣菸酒股份有限公司 桃園酒廠,4.1,1374,"['tourist_attraction', 'point_of_interest', 'food', 'establishment']",333台灣桃園市龜山區文化一路55號,121.3751967,25.0563265,OPERATIONAL
C1_313020000G_000136,臺灣菸酒(股)公司林口觀光酒廠,桃園市,龜山區,桃園縣龜山鄉文化一路55號,ChIJdZ0EkxSnQjQRuKGw9qc3Wt8,臺灣菸酒公司 桃園印刷廠,4.2,23,"['shopping_mall', 'point_of_interest', 'establishment']",333台灣桃園市龜山區文化一路55號,121.3751273,25.0563984,OPERATIONAL
C1_376420000A_000001,蘇澳冷泉公園,宜蘭縣,蘇澳鎮,宜蘭縣270蘇澳鎮冷泉路6-4號,ChIJl46E4DXoZzQRguSwNiYmEyM,蘇澳冷泉公園,3.8,7287,"['park', 'tourist_attraction', 'point_of_interest', 'establishment']",270台灣宜蘭縣蘇澳鎮冷泉路6之4號,121.850703,24.5973124,OPERATIONAL
C1_376420000A_000002,豆腐岬風景區,宜蘭縣,蘇澳鎮,宜蘭縣270蘇澳鎮南方澳漁港東側,ChIJtUP3qTXoZzQRH9XGPtgr2j0,豆腐岬風景區,4.3,6263,"['tourist_attraction', 'point_of_interest', 'establishment']",270台灣宜蘭縣蘇澳鎮,121.8714345,24.583822,OPERATIONAL
C1_376420000A_000003,武荖坑風景區,宜蘭縣,蘇澳鎮,宜蘭縣270蘇澳鎮武荖坑路75號,ChIJTZgZcHboZzQRDdgb5km-Ros,武荖坑風景區,4.2,3172,"['campground', 'park', 'lodging', 'point_of_interest', 'establishment']",270台灣宜蘭縣蘇澳鎮武荖坑路75號,121.8144652,24.6106094,OPERATIONAL
C1_376420000A_000004,南澳農場,宜蘭縣,蘇澳鎮,宜蘭縣270蘇澳鎮270宜蘭縣蘇澳鎮海岸路92號,ChIJucTI28LaZzQR89z3vyumaZk,南澳農場（目前暫停露營）,4.2,757,"['campground', 'park', 'lodging', 'point_of_interest', 'establishment']",270台灣宜蘭縣蘇澳鎮海岸路92號,121.7904369,24.4534174,OPERATIONAL
C1_376420000A_000008,內埤海灣,宜蘭縣,蘇澳鎮,宜蘭縣270蘇澳鎮內埤路(北濱公園旁),ChIJmdhowNnpZzQR-TP-weGF6bk,宜蘭內埤情人灣,4.4,603,"['natural_feature', 'establishment']",270台灣宜蘭縣蘇澳鎮宜蘭內埤情人灣,121.8705989,24.5772293,OPERATIONAL
C1_376420000A_000008,內埤海灣,宜蘭縣,蘇澳鎮,宜蘭縣270蘇澳鎮內埤路(北濱公園旁),ChIJDdsy-tjpZzQRKIdFA283d68,內埤海水浴場,4.3,383,"['natural_feature', 'establishment']",台灣宜蘭縣內埤海水浴場,121.869554,24.5754922,OPERATIONAL
C1_376420000A_000009,頂寮生態公園,宜蘭縣,蘇澳鎮,宜蘭縣270蘇澳鎮頂寮,ChIJibyDQejoZzQReCK_U9UbbVU,頂寮生態公園,3.6,222,"['park', 'tourist_attraction', 'point_of_interest', 'establishment']",270台灣宜蘭縣蘇澳鎮頂寮,121.8427459,24.6394413,CLOSED_TEMPORARILY
C1_376420000A_000010,獅子公園,宜蘭縣,蘇澳鎮,宜蘭縣270蘇澳鎮蘇南公路往南方澳方向路旁(紫竹寺斜對面),ChIJlbz-S8zpZzQRjS4Hu-ru3Tg,蘇澳獅子園,4.0,308,"['tourist_attraction', 'point_of_interest', 'establishment']",270台灣宜蘭縣蘇澳鎮蘇南公路11號,121.8600192,24.5886832,OPERATIONAL
C1_376420000A_000011,東澳灣.粉鳥林漁港,宜蘭縣,蘇澳鎮,宜蘭縣272南澳鄉蘇花路三段東澳灣,ChIJmZBjUaArZjQRroDO79PlpB4,粉鳥林漁港,4.2,9498,"['tourist_attraction', 'point_of_interest', 'establishment']",270台灣宜蘭縣蘇澳鎮蘇花路三段東澳灣,121.8415038,24.4973072,OPERATIONAL
C1_376420000A_000013,朝陽漁港,宜蘭縣,蘇澳鎮,宜蘭縣270蘇澳鎮朝陽路1號附近(朝陽社區內),ChIJLQf1adfEZzQRFF1mW-l9KhY,朝陽漁港,4.3,265,"['natural_feature', 'establishment']",台灣朝陽漁港,121.8211573,24.4610255,
C1_376420000A_000014,朝陽國家步道,宜蘭縣,蘇澳鎮,宜蘭縣270蘇澳鎮朝陽社區內,ChIJ-zlZLCrFZzQRptkEvIm7qx4,朝陽步道,4.1,1864,"['tourist_attraction', 'park', 'point_of_interest', 'establishment']",270台灣宜蘭縣蘇澳鎮龜山山丘上,121.8192249,24.4611582,OPERATIONAL
C1_376420000A_000015,南寧魚市場,宜蘭縣,蘇澳鎮,宜蘭縣270蘇澳鎮內埤路185號,ChIJdcuKz4rpZzQR9JCzXewt_EU,南方澳第一拍賣魚市場,4.0,365,"['point_of_interest', 'establishment']",270台灣宜蘭縣蘇澳鎮漁港路32-2號,121.8686367,24.5827377,OPERATIONAL
C1_376420000A_000015,南寧魚市場,宜蘭縣,蘇澳鎮,宜蘭縣270蘇澳鎮內埤路185號,ChIJ3cUYH-HpZzQRVbFpJ0SzEh4,南方澳魚巿場,3.7,66,"['point_of_interest', 'establishment']",270台灣宜蘭縣蘇澳鎮漁港路12號,121.869225,24.582656,OPERATIONAL
C1_376420000A_000015,南寧魚市場,宜蘭縣,蘇澳鎮,宜蘭縣270蘇澳鎮內埤路185號,ChIJi74WPRrpZzQRgMVgk5UZOjw,南方澳新魚市場,3.9,27,"['point_of_interest', 'establishment']",270台灣宜蘭縣蘇澳鎮漁港路32號,121.8686367,24.5827377,OPERATIONAL
C1_376420000A_000015,南寧魚市場,宜蘭縣,蘇澳鎮,宜蘭縣270蘇澳鎮內埤路185號,ChIJccU_tnvpZzQRASWH4WcheMY,三魚市場,4.3,6,"['point_of_interest', 'establishment']",270台灣宜蘭縣蘇澳鎮漁港路,121.8685561,24.5824689,OPERATIONAL
C1_376420000A_000015,南寧魚市場,宜蘭縣,蘇澳鎮,宜蘭縣270蘇澳鎮內埤路185號,ChIJfVxSVNrpZzQRtmYmsojZ05w,南方澳(南寧市場),4.1,7,"['transit_station', 'point_of_interest', 'establishment']",270台灣宜蘭縣蘇澳鎮,121.8704,24.5806,OPERATIONAL
C1_376420000A_000015,南寧魚市場,宜蘭縣,蘇澳鎮,宜蘭縣270蘇澳鎮內埤路185號,ChIJ72KjedDpZzQRmHASWdiHDFY,南方澳第一漁港（蘇澳漁港）,4.2,101,"['point_of_interest', 'establishment']",270台灣宜蘭縣蘇澳鎮南寧路,121.8674013,24.5819166,OPERATIONAL
C1_376420000A_000015,南寧魚市場,宜蘭縣,蘇澳鎮,宜蘭縣270蘇澳鎮內埤路185號,ChIJ0w4J_NrpZzQRWi0a88VVd6Y,南方澳第二漁港（內埤漁港）,4.0,383,"['point_of_interest', 'food', 'establishment']",270台灣宜蘭縣蘇澳鎮內埤路185-194號,121.8701493,24.5811259,CLOSED_TEMPORARILY
