s_name,county,address,geo_loc,gmaps_url,s_type,area
蘇澳冷泉公園,宜蘭縣,宜蘭縣蘇澳鎮冷泉路6之4號,POINT(121.85070 24.59731),https://www.google.com/maps/place/?q=place_id:ChIJl46E4DXoZzQRguSwNiYmEyM,戶外,蘇澳鎮
豆腐岬風景區,宜蘭縣,宜蘭縣蘇澳鎮,POINT(121.87143 24.58382),https://www.google.com/maps/place/?q=place_id:ChIJtUP3qTXoZzQRH9XGPtgr2j0,戶外,蘇澳鎮
武荖坑風景區,宜蘭縣,宜蘭縣蘇澳鎮武荖坑路75號,POINT(121.81447 24.61061),https://www.google.com/maps/place/?q=place_id:ChIJTZgZcHboZzQRDdgb5km-Ros,戶外,蘇澳鎮
頂寮生態公園,宜蘭縣,宜蘭縣蘇澳鎮頂寮,POINT(121.84275 24.63944),https://www.google.com/maps/place/?q=place_id:ChIJibyDQejoZzQReCK_U9UbbVU,戶外,蘇澳鎮
砲台山風景區,宜蘭縣,宜蘭縣蘇澳鎮,POINT(121.85699 24.59322),https://www.google.com/maps/place/?q=place_id:ChIJAQAAQDPoZzQRuVNnGlQBeoU,戶外,蘇澳鎮
宜蘭餅發明館,宜蘭縣,宜蘭縣蘇澳鎮海山西路369號,POINT(121.82917 24.61456),https://www.google.com/maps/place/?q=place_id:ChIJb6lDH2boZzQR871NrJByho4,室內,蘇澳鎮
南方澳討海文化館,宜蘭縣,宜蘭縣蘇澳鎮跨港路2號,POINT(121.87187 24.58525),https://www.google.com/maps/place/?q=place_id:ChIJtWzbZ9DpZzQRCBe38uch6IY,室內,蘇澳鎮
奇麗灣珍奶文化館,宜蘭縣,宜蘭縣蘇澳鎮頂強路23號,POINT(121.83672 24.63421),https://www.google.com/maps/place/?q=place_id:ChIJE9Hm6u3oZzQRHOcpGbeT_8A,室內,蘇澳鎮
祝大漁物產館 ZHU DAYU Culture Museum,宜蘭縣,宜蘭縣蘇澳鎮江夏路52之2號,POINT(121.86639 24.58526),https://www.google.com/maps/place/?q=place_id:ChIJiYeA6c_pZzQRdLkmO0Blx_Q,室內,蘇澳鎮
橘之鄉蜜餞形象館,宜蘭縣,宜蘭縣宜蘭市梅洲二路33號,POINT(121.73683 24.78010),https://www.google.com/maps/place/?q=place_id:ChIJYa-rS0n7ZzQRq6rvo8hKYmg,室內,宜蘭市
亞典菓子工場,宜蘭縣,宜蘭縣宜蘭市梅洲二路122號,POINT(121.73201 24.78099),https://www.google.com/maps/place/?q=place_id:ChIJxwxiEU77ZzQRZ3a_KNM6LXg,室內,宜蘭市
宜蘭吳沙故居,宜蘭縣,宜蘭縣礁溪鄉北門巷39號,POINT(121.75937 24.78818),https://www.google.com/maps/place/?q=place_id:ChIJcS8qGSL7ZzQRg1e94JtaomY,戶外,礁溪鄉
柴圍佃圳水門公園,宜蘭縣,宜蘭縣礁溪鄉四結路33之之36號,POINT(121.75441 24.79380),https://www.google.com/maps/place/?q=place_id:ChIJiRnm0Rn7ZzQRHN3eaTqBRzM,戶外,礁溪鄉
宜蘭養殖場,宜蘭縣,宜蘭縣礁溪鄉奇立丹路86號,POINT(121.77652 24.82134),https://www.google.com/maps/place/?q=place_id:ChIJnwYPYE_6ZzQRS5ZPtsrl66Y,戶外,礁溪鄉
